snr_db,sigma_step_hz,trial_index,trajectory_seed,noise_seed,decoded_success,decoded_message,reported_snr,reported_drift,reported_frequency,max_abs_frequency_hz,frequency_rms_hz,frequency_peak_to_peak_hz,max_abs_phase_rad,phase_rms_rad,phase_peak_to_peak_rad,final_phase_rad,fitted_constant_hz,fitted_linear_coefficient,runtime_seconds
-30.5,0.02,36,2026200536,2026110636,0,,,,,0.12110527478681576,0.04529894758094081,0.19493779569271727,5.324408865159786,2.579452257993152,9.21763749806568,5.4423696452254866e-14,-0.04626097838093118,0.028412394128786083,0.5066060869994544
-30.5,0.02,38,2026200538,2026110638,1,K1ABC FN42 33,-31,0,10.140200,0.1490165743109356,0.06248643657484843,0.26455373620969364,8.508502241439459,4.67157561917914,15.053736230913744,-5.800481622797449e-15,-0.08197263575160592,-0.13896052662290395,0.24338469999929657
-30.5,0.02,39,2026200539,2026110639,1,K1ABC FN42 33,-30,0,10.140200,0.0959284116510527,0.04301015419269655,0.1834028707829891,5.438841507471798,2.8605505996732985,10.448973532555634,7.482088408040932e-13,0.0807559923928851,0.0429756072774305,0.28875254100057646
-30.5,0.02,42,2026200542,2026110642,1,K1ABC FN42 33,-30,0,10.140200,0.226910951649964,0.09258915606435031,0.38054682423474545,14.800815747127237,7.512505553204389,22.824654624356445,-3.3686031394863925e-13,-0.35654713860819587,-0.2582005740182717,0.2552359780002007
-30.5,0.02,41,2026200541,2026110641,1,K1ABC FN42 33,-30,0,10.140200,0.1857063640754417,0.08708380675320326,0.3357542329500328,14.27546461189785,8.430367780007895,25.145759105517516,2.047723319034689e-12,0.054450875661814446,-0.0932045657953178,0.3318592430005083
-30.5,0.02,45,2026200545,2026110645,1,K1ABC FN42 33,-29,0,10.140200,0.1366866623974055,0.04258600585773931,0.22694833571040754,4.688794335083158,2.2954188701441054,8.714477182521097,5.70611266570431e-14,0.07033797168490118,0.040029171906395364,0.05250114000045869
-30.5,0.02,40,2026200540,2026110640,0,,,,,0.12595469260972658,0.0561282108468366,0.24116387203523348,7.034155233541532,3.363198840016318,11.628076489672099,8.861249407854377e-14,0.25415673988227816,0.24287388461716006,0.5363828469999135
-30.5,0.02,43,2026200543,2026110643,1,K1ABC FN42 33,-31,0,10.140200,0.22640693678752574,0.10826247896378614,0.3891815545494639,16.51177257185801,11.18126725323849,31.682199116807524,3.898359933474094e-12,-0.042881770079097874,0.17742544801642857,0.3467097590000776
-30.5,0.02,44,2026200544,2026110644,1,K1ABC FN42 33,-30,0,10.140200,0.1932470194796009,0.08152996710357055,0.3409685018070886,11.583799198922803,6.890917610730205,22.247445094467196,-2.016633388057798e-12,0.07192476391165638,0.13165755470411458,0.2593763669992768
-30.5,0.02,47,2026200547,2026110647,1,K1ABC FN42 33,-31,0,10.140200,0.07004917173194189,0.033312553124093654,0.1353342948233091,4.322218191653033,1.9802898669242255,7.890545820201869,4.554232696258459e-13,-0.10816156882828648,-0.17172259121110303,0.09490437599924917
-30.5,0.02,50,2026200550,2026110650,1,K1ABC FN42 33,-30,0,10.140200,0.1520958428157408,0.04777752269217445,0.24975841076997002,6.237594231812739,3.3893033719085994,11.64831909878909,-2.821885520393197e-14,0.14461657329298883,0.029788096051514296,0.05262239199873875
-30.5,0.02,46,2026200546,2026110646,1,K1ABC FN42 33,-31,0,10.140200,0.14049640180698386,0.06881913576897254,0.2754088797492167,8.630208113381416,5.438862269517581,17.224153613554712,-2.575817163730232e-13,-0.2697736069384912,-0.3074463903811268,0.3471168679989205
-30.5,0.02,48,2026200548,2026110648,1,K1ABC FN42 33,-30,0,10.140200,0.1676690032054758,0.05030938662564949,0.27757158183554154,5.766012508283227,3.1947884858027544,10.153279207625769,-7.881737797144073e-14,-0.20529121870817618,-0.12887872264999456,0.2547625240003981
-30.5,0.02,49,2026200549,2026110649,1,K1ABC FN42 33,-31,0,10.140200,0.16233611606295167,0.0774809242867535,0.30809059841526953,12.813965650355874,6.642052186831987,22.087926680438486,-1.3592009462382038e-12,-0.0058030691030088195,0.03923622774126091,0.24823309699968377
-30.5,0.02,52,2026200552,2026110652,1,K1ABC FN42 33,-30,0,10.140200,0.20108811069170424,0.058364267442834634,0.33108033986465935,8.038400989534408,3.9076598266524223,13.106257954509296,4.725534200056281e-13,-0.26607588744446153,-0.24462592947001863,0.24191852500007371
-30.5,0.02,53,2026200553,2026110653,1,K1ABC FN42 33,-30,0,10.140200,0.2244952041768402,0.09648195834099507,0.4015742053517482,14.331199589348705,8.745003718863252,28.15876014819792,-3.2193258475698983e-13,-0.035122744867067526,-0.03519569185804762,0.25219658999958483
-30.5,0.02,54,2026200554,2026110654,1,K1ABC FN42 33,-31,0,10.140200,0.11314305907041744,0.037618742806342136,0.21056177846518953,3.941616947094331,2.0850334385760885,7.2906918612776614,4.0753094258591527e-13,0.12686777392138043,0.06586332310987111,0.2630249100002402
-30.5,0.02,51,2026200551,2026110651,0,,,,,0.18926622596997783,0.08280365968638317,0.36892899804132706,11.94364930408967,6.578245244507239,21.109018796129448,4.4664359016843846e-14,0.22051737917499029,0.12383980219730137,0.5316748139994161
