tau_seconds,symbol_index,symbol_center_time_seconds,x,raw_hz,constant_linear_fit_hz,residual_hz,normalized_thermal_residual,normalized_quadratic_residual
120,16,11.264,-0.8024691358024691,0.08959585863250563,0.11025559294554232,-0.020659734313036693,-0.4235982550117876,0.45962732919254656
120,17,11.946666666666665,-0.7901234567901234,0.09476034262056932,0.11392079229440694,-0.01916044967383762,-0.39285757135595045,0.4298136645962731
120,18,12.629333333333333,-0.7777777777777778,0.09989552984508476,0.11758599164327152,-0.017690461798186757,-0.3627175758662086,0.4004658385093167
120,19,13.312,-0.7654320987654321,0.10500158649891012,0.12125119099213616,-0.016249604493226044,-0.33317486099609506,0.3715838509316768
120,20,13.994666666666665,-0.7530864197530864,0.11007867783213476,0.12491639034100074,-0.01483771250886598,-0.3042260385292613,0.34316770186335394
120,21,14.677333333333333,-0.7407407407407407,0.11512696815742796,0.12858158968986536,-0.0134546215324374,-0.27586773946981996,0.3152173913043476
120,22,15.36,-0.7283950617283951,0.12014662085535621,0.13224678903872997,-0.012100168183373755,-0.24809661393331256,0.2877329192546584
120,23,16.042666666666666,-0.7160493827160493,0.12513779837967065,0.13591198838759458,-0.010774190007923928,-0.22090933103830318,0.26071428571428557
120,24,16.72533333333333,-0.7037037037037037,0.13010066226256511,0.13957718773645916,-0.009476525473894049,-0.1943025787985671,0.23416149068322975
120,25,17.407999999999998,-0.691358024691358,0.13503537311990366,0.1432423870853238,-0.008207013965420146,-0.1682730640159114,0.20807453416149055
120,26,18.090666666666667,-0.6790123456790124,0.13994209065641872,0.1469075864341884,-0.00696549577776967,-0.14281751217358776,0.18245341614906826
120,27,18.773333333333333,-0.6666666666666666,0.14482097367087932,0.150572785783053,-0.005751812112173682,-0.11793266733033367,0.1572981366459626
120,28,19.456,-0.654320987654321,0.14967218006123095,0.1542379851319176,-0.004565805070686657,-0.09361529201498035,0.13260869565217387
120,29,20.138666666666666,-0.6419753086419753,0.1544958668297055,0.15790318448078222,-0.0034073176510767134,-0.069862167121684,0.10838509316770169
120,30,20.82133333333333,-0.6296296296296297,0.1592921900879024,0.1615683838296468,-0.002276193741744398,-0.046670091805742865,0.08462732919254659
120,31,21.503999999999998,-0.6172839506172839,0.1640613050618407,0.16523358317851145,-0.0011722781166707552,-0.024035883380014632,0.061335403726707885
120,32,22.186666666666667,-0.6049382716049383,0.168803366096983,0.16889878252737603,-9.54164303930416e-05,-0.0019563772119006112,0.03850931677018626
120,33,22.869333333333334,-0.5925925925925926,0.17351852666323064,0.17256398187624064,0.0009545447869900026,0.01957157337906398,0.016149068322981196
120,34,23.552,-0.5802469135802469,0.1782069393598904,0.17622918122510525,0.0019777581347851514,0.040551097223051204,-0.005745341614906957
120,35,24.234666666666666,-0.5679012345679012,0.18286875592061336,0.17989438057396986,0.002974375346643493,0.06098530540120343,-0.027173913043478375
120,36,24.917333333333332,-0.5555555555555556,0.187504127218305,0.18355957992283445,0.003944547295470557,0.08087729134630844,-0.04813664596273297
120,37,25.599999999999998,-0.5432098765432098,0.1921132032700088,0.1872247792716991,0.0048884239983097155,0.10023013094292658,-0.068633540372671
120,38,26.282666666666668,-0.5308641975308642,0.1966961332417606,0.19088997862056367,0.005806154621196935,0.11904688262693053,-0.08866459627329203
120,39,26.965333333333334,-0.5185185185185185,0.2012530654534167,0.1945551779694283,0.006697887483988391,0.1373305874844885,-0.1082298136645965
120,40,27.648,-0.5061728395061729,0.2057841473834533,0.1982203773182929,0.007563770065160402,0.15508426935048025,-0.1273291925465839
