message,callsign,grid,power,condition,snr_db,linear_drift_hz,quadratic_residual_hz,trial_index,noise_seed,decoded_success,decoded_message,reported_snr,reported_drift,runtime_seconds
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,0,2026112000,1,F5ABC JN18 40,-29,0,0.08724375299999565
JA1QRS PM95 17,JA1QRS,PM95,17,linear_drift,-30.5,0.5,0.0,96,2026112096,0,,,,0.5296246529999848
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,3,2026112003,1,F5ABC JN18 40,-29,0,0.24892769600000975
JA1QRS PM95 17,JA1QRS,PM95,17,linear_drift,-30.5,0.5,0.0,99,2026112099,0,,,,0.527567629999993
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,2,2026112002,1,F5ABC JN18 40,-30,0,0.3789765130000262
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,1,2026112001,0,,,,0.4966865800000164
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,6,2026112006,1,F5ABC JN18 40,-31,0,0.054314851000015096
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,8,2026112008,1,F5ABC JN18 40,-29,0,0.049849459000000707
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,7,2026112007,1,F5ABC JN18 40,-29,0,0.26331707500000334
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,5,2026112005,1,F5ABC JN18 40,-30,0,0.3308363570000097
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,4,2026112004,0,,,,0.5304585860000088
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,9,2026112009,1,F5ABC JN18 40,-30,0,0.3458154479999962
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,13,2026112013,1,F5ABC JN18 40,-30,0,0.24450018699999987
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,10,2026112010,0,,,,0.5274402160000022
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,11,2026112011,0,,,,0.5248377709999943
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,12,2026112012,0,,,,0.5361236440000141
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,16,2026112016,1,F5ABC JN18 40,-30,0,0.25793763799998715
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,14,2026112014,0,,,,0.5445783030000086
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,15,2026112015,0,,,,0.5261206659999971
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,18,2026112018,1,F5ABC JN18 40,-31,0,0.3327779669999984
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,20,2026112020,1,F5ABC JN18 40,-29,0,0.09938015999998129
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,19,2026112019,1,F5ABC JN18 40,-29,0,0.23701664699999014
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,17,2026112017,0,,,,0.5132341580000173
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,22,2026112022,1,F5ABC JN18 40,-30,0,0.0528000200000065
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,23,2026112023,1,F5ABC JN18 40,-31,0,0.04949534100001074
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,21,2026112021,1,F5ABC JN18 40,-30,0,0.261557646
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,24,2026112024,1,F5ABC JN18 40,-31,0,0.30388277700001254
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,27,2026112027,1,F5ABC JN18 40,-31,0,0.28942986599997766
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,25,2026112025,0,,,,0.5019240599999932
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,26,2026112026,0,,,,0.4995992880000131
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,29,2026112029,1,F5ABC JN18 40,-31,0,0.2342407840000078
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,30,2026112030,1,F5ABC JN18 40,-30,0,0.23427246299999638
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,28,2026112028,0,,,,0.49803864099999373
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,31,2026112031,0,,,,0.4955580580000003
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,35,2026112035,1,F5ABC JN18 40,-30,0,0.055795471000010366
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,32,2026112032,0,,,,0.504000738000002
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,33,2026112033,0,,,,0.5226465160000089
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,36,2026112036,1,F5ABC JN18 40,-30,0,0.23146859300001665
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,34,2026112034,0,,,,0.5307089669999812
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,40,2026112040,1,F5ABC JN18 40,-30,0,0.06331868700002019
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,41,2026112041,1,F5ABC JN18 40,-30,0,0.2908241080000096
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,37,2026112037,0,,,,0.5012610039999856
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,38,2026112038,0,,,,0.5072317300000009
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,39,2026112039,0,,,,0.5077523969999902
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,42,2026112042,1,F5ABC JN18 40,-30,0,0.23711653000000865
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,43,2026112043,1,F5ABC JN18 40,-31,0,0.31865356999998085
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,46,2026112046,1,F5ABC JN18 40,-30,0,0.3197797279999861
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,44,2026112044,0,,,,0.492879304000013
