noise_family,carrier_frequency_hz,target_sigma_y_1s,realized_sigma_y_1s,snr_db,trial_index,oscillator_seed,noise_seed,decoded_success,decoded_message,reported_snr,reported_drift,reported_frequency,raw_frequency_rms_hz,raw_max_abs_frequency_hz,residual_frequency_rms_hz,residual_max_abs_frequency_hz,residual_peak_to_peak_hz,max_abs_phase_rad,phase_rms_rad,phase_peak_to_peak_rad,fitted_constant_hz,fitted_linear_coefficient,dot_with_constant,dot_with_x,runtime_seconds
white_FM,10000000.0,1e-09,1.0402503398429408e-09,-31.0,10,2026102010,2026111110,1,K1ABC FN42 33,-31,0,10.140200,0.01030509890710175,0.026396868873180972,0.010280923898826119,0.02675217136108034,0.05071555959897013,0.3090167811294423,0.12274696185101383,0.5950539334291087,-0.0006463662571495512,-0.0005016205384949953,3.8163916471489756e-17,6.266621915596076e-18,0.13935131700054626
white_FM,10000000.0,1e-09,1.0479361188160418e-09,-30.5,9,2026102009,2026101109,1,K1ABC FN42 33,-30,0,10.140200,0.010655266013252214,0.031170990650056494,0.010460081227360555,0.028199090257856167,0.05403060455223334,0.5319447971503208,0.20800971038658098,0.8835521048458532,-0.0019269836843554126,0.001071370295385292,-4.85722573273506e-17,-4.134875636170459e-17,0.29738017999989097
white_FM,10000000.0,1e-09,8.945349634014402e-10,-31.0,11,2026102011,2026111111,1,K1ABC FN42 33,-31,0,10.140200,0.009435276892817038,0.03106641716621415,0.009293502853957223,0.03160450037857581,0.05307357416022507,0.5012776876238473,0.2536245254674194,0.9126405407321991,-0.0009856391224493306,-0.002265751794818831,5.204170427930421e-17,2.869700220076122e-17,0.3207251760013605
white_FM,10000000.0,1e-09,9.120882394780152e-10,-31.0,12,2026102012,2026111112,1,K1ABC FN42 33,-31,0,10.140200,0.009729276093726383,0.027003107525098047,0.00972249819821465,0.0269831839514228,0.052502932616834884,0.41289644691024235,0.1405739429880234,0.7069182469139914,0.00025158636992139694,-0.0004488225598230226,-1.3877787807814457e-17,7.392844708983432e-18,0.2485732419991109
white_FM,10000000.0,1e-09,1.0189676203188732e-09,-30.5,13,2026102013,2026101113,1,K1ABC FN42 33,-30,0,10.140200,0.009629429207174377,0.030327721536547086,0.00958672705765986,0.028615326639663142,0.05320053078023995,0.47050122835836067,0.2029073256835554,0.7891054428689015,0.00039240988279497496,-0.0014068261334369279,-2.3418766925686896e-17,1.485353596825089e-17,0.25040519700087316
white_FM,10000000.0,1e-09,1.0189676203188732e-09,-31.0,13,2026102013,2026111113,0,,,,,0.009629429207174377,0.030327721536547086,0.00958672705765986,0.028615326639663142,0.05320053078023995,0.47050122835836067,0.2029073256835554,0.7891054428689015,0.00039240988279497496,-0.0014068261334369279,-2.3418766925686896e-17,1.485353596825089e-17,0.05035228100132372
white_FM,10000000.0,1e-09,9.120882394780152e-10,-30.5,12,2026102012,2026101112,1,K1ABC FN42 33,-31,0,10.140200,0.009729276093726383,0.027003107525098047,0.00972249819821465,0.0269831839514228,0.052502932616834884,0.41289644691024235,0.1405739429880234,0.7069182469139914,0.00025158636992139694,-0.0004488225598230226,-1.3877787807814457e-17,7.392844708983432e-18,0.3257318320011109
white_FM,10000000.0,1e-09,1.1274810863932899e-09,-31.0,15,2026102015,2026111115,1,K1ABC FN42 33,-30,0,10.140200,0.010575248196694477,0.024248581761059693,0.01040310421018317,0.02462025517313253,0.048113749020115656,0.46334803320210516,0.21798471014402146,0.8412225223042977,0.0015241351726743334,0.0019942921475911792,-1.8561541192951836e-16,-8.75801439571296e-20,0.05882973000007041
white_FM,10000000.0,1e-09,9.953350288555758e-10,-30.5,14,2026102014,2026101114,1,K1ABC FN42 33,-32,0,10.140200,0.011384457178818266,0.029531230896138523,0.011381317684986823,0.029573695971704842,0.052838427143888166,0.40912374453744776,0.16192758621657646,0.7887009532261889,-0.00019407581077233375,0.0003148838346586438,4.85722573273506e-17,-4.856242694840401e-18,0.2646738559997175
white_FM,10000000.0,1e-09,1.1274810863932899e-09,-30.5,15,2026102015,2026101115,1,K1ABC FN42 33,-30,0,10.140200,0.010575248196694477,0.024248581761059693,0.01040310421018317,0.02462025517313253,0.048113749020115656,0.46334803320210516,0.21798471014402146,0.8412225223042977,0.0015241351726743334,0.0019942921475911792,-1.8561541192951836e-16,-8.75801439571296e-20,0.2329024059999938
white_FM,10000000.0,1e-09,9.953350288555758e-10,-31.0,14,2026102014,2026111114,1,K1ABC FN42 33,-30,0,10.140200,0.011384457178818266,0.029531230896138523,0.011381317684986823,0.029573695971704842,0.052838427143888166,0.40912374453744776,0.16192758621657646,0.7887009532261889,-0.00019407581077233375,0.0003148838346586438,4.85722573273506e-17,-4.856242694840401e-18,0.25967979400047625
white_FM,10000000.0,1e-09,8.366360824557173e-10,-30.5,16,2026102016,2026101116,1,K1ABC FN42 33,-31,0,10.140200,0.008147540343817919,0.022874897558406528,0.0080209855271809,0.02161890421708487,0.042828284749312176,0.32529699671957324,0.1118192183552584,0.624072673634123,0.001329926362298871,0.0009373394404933791,-3.8163916471489756e-17,-2.266149024538447e-17,0.2694097799994779
white_FM,10000000.0,1e-09,9.673861959222694e-10,-30.5,17,2026102017,2026101117,1,K1ABC FN42 33,-32,0,10.140200,0.010266086692444347,0.030413575277546623,0.00988717996840261,0.02670260458809404,0.050564723345631654,0.3997906702244156,0.14353114051299404,0.6980678560910647,-0.0019203966849421783,-0.003477248206167408,1.5265566588595902e-16,2.086907599471807e-17,0.10271082500003104
white_FM,10000000.0,1e-09,9.673861959222694e-10,-31.0,17,2026102017,2026111117,1,K1ABC FN42 33,-30,0,10.140200,0.010266086692444347,0.030413575277546623,0.00988717996840261,0.02670260458809404,0.050564723345631654,0.3997906702244156,0.14353114051299404,0.6980678560910647,-0.0019203966849421783,-0.003477248206167408,1.5265566588595902e-16,2.086907599471807e-17,0.17646383800092735
white_FM,10000000.0,1e-09,1.06247672208355e-09,-30.5,18,2026102018,2026101118,1,K1ABC FN42 33,-29,0,10.140200,0.010267049877878793,0.024931151138024996,0.010225747368955965,0.0248196307411136,0.04704429375272756,0.25832126067482303,0.10667460339601714,0.5021466386204887,-0.00048586957954801303,0.0013441274470336719,2.0816681711721685e-17,-9.465030399422942e-18,0.2986654020005517
white_FM,10000000.0,1e-09,8.366360824557173e-10,-31.0,16,2026102016,2026111116,0,,,,,0.008147540343817919,0.022874897558406528,0.0080209855271809,0.02161890421708487,0.042828284749312176,0.32529699671957324,0.1118192183552584,0.624072673634123,0.001329926362298871,0.0009373394404933791,-3.8163916471489756e-17,-2.266149024538447e-17,0.5740130420017522
white_FM,10000000.0,1e-09,1.054240969030444e-09,-30.5,20,2026102020,2026101120,1,K1ABC FN42 33,-29,0,10.140200,0.010112757408905824,0.02692632811558482,0.01008865439378426,0.027622314030068127,0.05314456666959934,0.3678582320951728,0.15426683101831765,0.7116561064064346,2.4727239746555388e-05,0.001208265614526157,2.42861286636753e-17,-5.1349057972150056e-18,0.061238786998728756
white_FM,10000000.0,1e-09,1.0955184969077986e-09,-31.0,19,2026102019,2026111119,1,K1ABC FN42 33,-30,0,10.140200,0.010723169205869644,0.03429024631113458,0.010677550096310225,0.03525166156486831,0.05803712642109497,0.39690891497205805,0.15088984737968325,0.6993973203327686,-0.0009866365273014505,7.566382070316067e-05,1.3877787807814457e-17,-1.1132281695761478e-17,0.24342027099919505
white_FM,10000000.0,1e-09,1.054240969030444e-09,-31.0,20,2026102020,2026111120,0,,,,,0.010112757408905824,0.02692632811558482,0.01008865439378426,0.027622314030068127,0.05314456666959934,0.3678582320951728,0.15426683101831765,0.7116561064064346,2.4727239746555388e-05,0.001208265614526157,2.42861286636753e-17,-5.1349057972150056e-18,0.04570022500047344
white_FM,10000000.0,1e-09,1.06247672208355e-09,-31.0,18,2026102018,2026111118,0,,,,,0.010267049877878793,0.024931151138024996,0.010225747368955965,0.0248196307411136,0.04704429375272756,0.25832126067482303,0.10667460339601714,0.5021466386204887,-0.00048586957954801303,0.0013441274470336719,2.0816681711721685e-17,-9.465030399422942e-18,0.5776797519993124
