noise_family,carrier_frequency_hz,target_sigma_y_1s,snr_db,n,successes,p_decode,Wilson95_low,Wilson95_high,median_realized_sigma_y_1s,median_residual_frequency_rms_hz,median_residual_max_abs_frequency_hz,median_max_abs_phase_rad,mean_runtime_seconds
flicker_FM,28000000.0,1e-08,-30.5,100,0,0.0,3.469446951953614e-18,0.03699349820698568,9.915382657071293e-09,0.42637485745387266,1.1484709862822773,34.57381261086485,0.2916903955399539
random_walk_FM,10000000.0,1e-09,-30.5,100,84,0.84,0.7557973061072976,0.8990471151119521,9.851685423751126e-10,0.03365592735512445,0.08442990887686665,4.543535407140653,0.26221132440005024
random_walk_FM,10000000.0,1e-09,-31.0,100,73,0.73,0.6356788323205499,0.8073041585042365,9.851685423751126e-10,0.03365592735512445,0.08442990887686665,4.543535407140653,0.33612422012005483
random_walk_FM,10000000.0,3e-09,-30.5,100,62,0.62,0.5220975529551107,0.7090240074752127,3.0184912031740313e-09,0.11281761460575859,0.2711408580882901,14.944677515220743,0.33802605227983806
random_walk_FM,10000000.0,3e-09,-31.0,100,43,0.43,0.33733298524110106,0.5278461045078768,3.0184912031740313e-09,0.11281761460575859,0.2711408580882901,14.944677515220743,0.38410434336990873
random_walk_FM,10000000.0,1e-08,-31.0,100,1,0.01,0.0017674320641406505,0.054486196178705315,9.93147284891504e-09,0.3447821471505179,0.8512626560992808,45.934015735079385,0.32867666408017615
random_walk_FM,10000000.0,1e-08,-30.5,100,2,0.02,0.00550196755016235,0.07001179072854388,9.93147284891504e-09,0.3447821471505179,0.8512626560992808,45.934015735079385,0.360627710729932
random_walk_FM,14000000.0,1e-09,-30.5,100,83,0.83,0.7445199523239887,0.8910643388594006,1.0027056171990364e-09,0.0478647908100448,0.11444664412090415,5.994689817282354,0.28586260315983963
random_walk_FM,14000000.0,1e-09,-31.0,100,70,0.7,0.6041514536665332,0.7810511470506724,1.0027056171990364e-09,0.0478647908100448,0.11444664412090415,5.994689817282354,0.32007805518003807
random_walk_FM,14000000.0,3e-09,-31.0,100,27,0.27,0.1926958414957634,0.36432116767944994,2.9563305886242975e-09,0.142180296044135,0.3508758579385065,18.545590476086808,0.3974489553499552
