replicate,bDA,status,iterations,error
343,7.8659412376269655,success,5,
344,8.075080323276667,success,4,
345,7.14262215085749,success,4,
346,6.9593414700336576,success,5,
347,8.185433668190406,success,5,
348,7.643774105844465,success,4,
349,7.380626471307178,success,5,
350,8.605214650871243,success,4,
351,6.3092855648528,success,5,
352,7.344569266331556,success,5,
353,7.166076161987781,success,4,
354,7.169551262119132,success,4,
355,8.144910780430708,success,5,
356,8.713688877677901,success,4,
357,7.7297041011819365,success,4,
358,7.6754638286255,success,5,
359,7.337884990110661,success,4,
360,6.914281899712656,success,4,
361,7.1433597319151225,success,4,
362,6.607839730284425,success,4,
363,7.5177750365193825,success,4,
364,6.852710231641804,success,4,
365,7.5403095974684575,success,4,
366,7.254894400958145,success,4,
367,7.396227056282286,success,4,
368,7.4053137172015555,success,4,
369,7.814298568266229,success,4,
370,7.378162483868259,success,4,
371,8.346143813419257,success,4,
372,7.162921403940474,success,4,
373,7.730075429674216,success,5,
374,6.953447593409401,success,4,
375,7.475335746088352,success,4,
376,7.5613851632453715,success,4,
377,7.630993653149095,success,4,
378,7.700864046248611,success,4,
379,7.94035718578234,success,4,
380,6.845809969069074,success,4,
381,7.780390208402983,success,4,
382,7.527990242541493,success,5,
383,7.025929668142347,success,4,
384,7.525191109202949,success,4,
385,7.2556325693389425,success,4,
386,7.68751481019211,success,4,
387,7.682224935385149,success,4,
388,7.744521654679147,success,4,
389,7.062667049206584,success,4,
390,7.639410767680918,success,4,
391,6.641824132088259,success,4,
392,7.386741212799066,success,4,
393,7.422727825301807,success,4,
394,8.70920390200401,success,5,
395,7.367628470537099,success,4,
396,8.405003851606745,success,4,
397,8.45141853480728,success,5,
398,7.662858325735006,success,5,
399,6.984281910625813,success,4,
400,7.582170432541255,success,4,
401,7.284329526963308,success,4,
402,8.10949713747734,success,5,
403,7.325461891066638,success,4,
404,8.33994351468815,success,4,
405,7.872764040572686,success,4,
406,8.813233337313196,success,5,
407,6.912607014093345,success,5,
408,7.448536901375546,success,4,
409,7.244702038247893,success,4,
410,7.03247747228409,success,4,
411,7.588761484924295,success,4,
412,7.370436663028051,success,4,
413,8.607283769046097,success,5,
414,8.364958582825796,success,5,
415,9.271687451472907,success,5,
416,8.331252314696764,success,4,
417,7.158044461546995,success,4,
418,7.151810890501558,success,4,
419,8.765891387852788,success,4,
420,6.7961601102009785,success,5,
421,7.591879027404519,success,4,
422,6.954840868211649,success,4,
423,7.666489701725271,success,4,
424,8.021177241970523,success,5,
425,7.386733205274732,success,4,
426,7.519929245554654,success,4,
427,7.4862447070042775,success,4,
428,6.575198148979572,success,5,
429,7.5464771715771635,success,4,
430,7.499985961283747,success,4,
431,7.573966326788435,success,4,
432,7.951205909439294,success,4,
433,7.006506703217167,success,4,
434,7.813625247175883,success,4,
435,7.334270002273566,success,4,
436,8.419763992966622,success,5,
437,8.09685437120587,success,4,
