source_dataset,snr_db,abs_linear_drift_hz,A_res_hz,decoded_success,seed,trial_index,cluster_id,snr_c,in_primary_support
linear_drift_boundary,-29.5,0.0,0.0,1,2026092713,113,linear_drift_boundary|-29.5|2026092713,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092714,114,linear_drift_boundary|-29.5|2026092714,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092712,112,linear_drift_boundary|-29.5|2026092712,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092716,116,linear_drift_boundary|-29.5|2026092716,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092715,115,linear_drift_boundary|-29.5|2026092715,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092718,118,linear_drift_boundary|-29.5|2026092718,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092719,119,linear_drift_boundary|-29.5|2026092719,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092720,120,linear_drift_boundary|-29.5|2026092720,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092711,111,linear_drift_boundary|-29.5|2026092711,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092721,121,linear_drift_boundary|-29.5|2026092721,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092722,122,linear_drift_boundary|-29.5|2026092722,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092724,124,linear_drift_boundary|-29.5|2026092724,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092725,125,linear_drift_boundary|-29.5|2026092725,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092717,117,linear_drift_boundary|-29.5|2026092717,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092726,126,linear_drift_boundary|-29.5|2026092726,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092727,127,linear_drift_boundary|-29.5|2026092727,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092728,128,linear_drift_boundary|-29.5|2026092728,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092729,129,linear_drift_boundary|-29.5|2026092729,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092723,123,linear_drift_boundary|-29.5|2026092723,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092730,130,linear_drift_boundary|-29.5|2026092730,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092732,132,linear_drift_boundary|-29.5|2026092732,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092735,135,linear_drift_boundary|-29.5|2026092735,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092733,133,linear_drift_boundary|-29.5|2026092733,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092731,131,linear_drift_boundary|-29.5|2026092731,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092734,134,linear_drift_boundary|-29.5|2026092734,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092736,136,linear_drift_boundary|-29.5|2026092736,0.75,True
