snr_db,linear_drift_hz,A_res_hz,trial_index,seed,decoded_success,decoded_message,reported_snr,reported_drift,reported_frequency,runtime_seconds
-30.0,0.0,0.0,153,2026093153,1,K1ABC FN42 33,-30,0,10.140200,0.2853981340003884
-30.0,0.0,0.0,152,2026093152,1,K1ABC FN42 33,-29,0,10.140200,0.3912022260001322
-30.0,0.0,0.0,154,2026093154,1,K1ABC FN42 33,-29,0,10.140200,0.26423121500010893
-30.0,0.0,0.0,157,2026093157,1,K1ABC FN42 33,-30,0,10.140200,0.058293611999943096
-30.0,0.0,0.0,155,2026093155,1,K1ABC FN42 33,-29,0,10.140200,0.2587516539997523
-30.0,0.0,0.0,160,2026093160,1,K1ABC FN42 33,-30,0,10.140200,0.050486234000345576
-30.0,0.0,0.0,156,2026093156,1,K1ABC FN42 33,-30,0,10.140200,0.26808802199957427
-30.0,0.0,0.0,161,2026093161,1,K1ABC FN42 33,-29,0,10.140200,0.05416956799945183
-30.0,0.0,0.0,158,2026093158,1,K1ABC FN42 33,-30,0,10.140200,0.27964318599970284
-30.0,0.0,0.0,159,2026093159,1,K1ABC FN42 33,-30,0,10.140200,0.279955661000713
-30.0,0.0,0.0,162,2026093162,1,K1ABC FN42 33,-30,0,10.140200,0.15931775300032314
-30.0,0.0,0.0,163,2026093163,1,K1ABC FN42 33,-29,0,10.140200,0.1553813579994312
-30.0,0.0,0.0,165,2026093165,1,K1ABC FN42 33,-30,0,10.140200,0.05235279000044102
-30.0,0.0,0.0,167,2026093167,1,K1ABC FN42 33,-29,0,10.140200,0.05839584599925729
-30.0,0.0,0.0,166,2026093166,1,K1ABC FN42 33,-29,0,10.140200,0.07789339699957054
-30.0,0.0,0.0,168,2026093168,1,K1ABC FN42 33,-31,0,10.140200,0.07274050999967585
-30.0,0.0,0.0,164,2026093164,1,K1ABC FN42 33,-29,0,10.140200,0.17163514799995028
-30.0,0.0,0.0,171,2026093171,1,K1ABC FN42 33,-30,0,10.140200,0.05652394800017646
-30.0,0.0,0.0,173,2026093173,1,K1ABC FN42 33,-29,0,10.140200,0.07236753799952567
-30.0,0.0,0.0,169,2026093169,1,K1ABC FN42 33,-30,0,10.140200,0.25542256599965185
-30.0,0.0,0.0,174,2026093174,1,K1ABC FN42 33,-30,0,10.140200,0.1017414119996829
