sigma_step_hz,descriptor,mean,std,median,p05,p25,p75,p95
0.01,raw_peak_to_peak_hz,0.19015575501227847,0.058532931080985,0.17920169341557562,0.1133444067859203,0.14784023948830122,0.22483868916482938,0.3093142174568651
0.01,fitted_constant_hz,-0.0026382118559436156,0.07164392033902303,-0.0029765303832385345,-0.12295715445942118,-0.05099620004312379,0.04443772459609852,0.11664776216731057
0.01,fitted_linear_coefficient,-0.001802585962847696,0.06796136163050359,-0.00015706399290731868,-0.11585968729358208,-0.04828147648298024,0.04390568176739159,0.11117234509165703
0.02,max_abs_frequency_hz,0.15412198097346644,0.0415441471323534,0.15005006032627557,0.09848014063742348,0.12492974273338214,0.17662701621160043,0.22686411074201496
0.02,frequency_rms_hz,0.0625419840131358,0.018019742019575995,0.06001962981306826,0.038122710493706996,0.049399513296112106,0.07274634484075053,0.09486469227462278
0.02,frequency_peak_to_peak_hz,0.27849154480779076,0.06830981467127395,0.2704481391165935,0.18326710822774617,0.2290321249201111,0.31847665631688743,0.3997142760649328
0.02,max_abs_phase_rad,8.250932948300804,3.5031194617127586,7.815331924393287,3.495100926784022,5.666980631085809,10.285826229424,14.634485906430344
0.02,phase_rms_rad,4.585190006925855,2.2743340918523702,4.14973519333379,1.6757675631024247,2.930403784806516,5.975139551702679,8.738573392058095
0.02,final_phase_rad,8.978000437661146e-15,7.709773389717162e-13,7.993876827844248e-15,-1.2017332658501023e-12,-3.7864194201917e-13,3.892750379853871e-13,1.2139339446853857e-12
0.02,phase_peak_to_peak_rad,14.89990523699032,6.487579548218025,13.811175958414347,6.183279739126356,10.142310342399284,18.72121347099891,26.839053446602772
0.02,raw_start_hz,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,raw_end_hz,0.0004806768193468162,0.25806944487091543,0.011293311081664589,-0.4079227703450223,-0.17983273479617012,0.17362976668975563,0.4338877638942631
0.02,raw_peak_to_peak_hz,0.38358816780205995,0.12150196525620148,0.3617893289338776,0.2284545610645052,0.29405819064254185,0.44982652984759436,0.6185795006730489
0.02,fitted_constant_hz,0.0014143536504548303,0.1499987794744433,-0.00324628231598243,-0.23320607759263032,-0.1037021275731562,0.10434829067401141,0.24844575807780203
0.02,fitted_linear_coefficient,-0.0017630684962999714,0.14108481168754008,-0.002284244190882522,-0.22546360087481665,-0.09681182251581995,0.08874394568099414,0.2254699277674851
0.04,max_abs_frequency_hz,0.31017188061284856,0.08215397918637832,0.29737284909122363,0.20101489084583193,0.25090814709266895,0.3563447602429053,0.46448138543715606
0.04,frequency_rms_hz,0.12726389916040173,0.038477042974369276,0.12067381719064421,0.0788220202080744,0.09914750032491841,0.14788013843797387,0.2011627589628728
0.04,frequency_peak_to_peak_hz,0.5603304628772942,0.13682085745427747,0.5438185092937635,0.3734622752000523,0.4612330819922434,0.6361859574483058,0.8158304271127776
0.04,max_abs_phase_rad,16.925373937515513,7.588115667634192,15.586129654423935,6.9787741222177715,11.463796428733756,20.840962318769208,31.75754725312817
0.04,phase_rms_rad,9.427762194430787,4.936296418759888,8.281938992004918,3.289239860967756,5.797463838519747,12.005032094845069,18.92915955318937
