snr_db,signed_A_res_hz,abs_A_res_hz,trial_index,seed,decoded_success,decoded_message,reported_snr,reported_drift,reported_frequency,runtime_seconds
-30.0,0.25,0.25,91,2026100291,1,K1ABC FN42 33,-31,0,10.140200,0.26077614499990887
-30.0,0.25,0.25,96,2026100296,1,K1ABC FN42 33,-29,0,10.140200,0.04139812399989751
-30.0,0.25,0.25,98,2026100298,1,K1ABC FN42 33,-29,0,10.140200,0.04625142900022183
-30.0,0.25,0.25,94,2026100294,1,K1ABC FN42 33,-31,0,10.140200,0.24725529900024412
-30.0,0.25,0.25,97,2026100297,1,K1ABC FN42 33,-30,0,10.140200,0.25089030700019066
-30.0,0.25,0.25,92,2026100292,0,,,,,0.5137804369996957
-30.0,0.25,0.25,99,2026100299,1,K1ABC FN42 33,-30,0,10.140200,0.290361436999774
-30.0,-0.25,0.25,0,2026100200,1,K1ABC FN42 33,-30,0,10.140200,0.2626463269998567
-30.0,-0.25,0.25,4,2026100204,1,K1ABC FN42 33,-29,0,10.140200,0.05764265800007706
-30.0,-0.25,0.25,2,2026100202,1,K1ABC FN42 33,-30,0,10.140200,0.2572376150001219
-30.0,-0.25,0.25,3,2026100203,1,K1ABC FN42 33,-29,0,10.140200,0.26865074500074115
-30.0,-0.25,0.25,1,2026100201,1,K1ABC FN42 33,-30,0,10.140200,0.376861927000391
-30.0,-0.25,0.25,8,2026100208,1,K1ABC FN42 33,-30,0,10.140200,0.057446092000645876
-30.0,-0.25,0.25,5,2026100205,1,K1ABC FN42 33,-30,0,10.140200,0.2625305790006678
-30.0,-0.25,0.25,7,2026100207,1,K1ABC FN42 33,-30,0,10.140200,0.26012507700033893
-30.0,-0.25,0.25,6,2026100206,1,K1ABC FN42 33,-30,0,10.140200,0.373817247000261
-30.0,-0.25,0.25,11,2026100211,1,K1ABC FN42 33,-30,0,10.140200,0.06020247600008588
-30.0,-0.25,0.25,9,2026100209,1,K1ABC FN42 33,-30,0,10.140200,0.2554172749996724
-30.0,-0.25,0.25,10,2026100210,1,K1ABC FN42 33,-30,0,10.140200,0.2574353689997224
-30.0,-0.25,0.25,14,2026100214,1,K1ABC FN42 33,-30,0,10.140200,0.0608042950007075
-30.0,-0.25,0.25,15,2026100215,1,K1ABC FN42 33,-30,0,10.140200,0.0567635480001627
-30.0,-0.25,0.25,12,2026100212,1,K1ABC FN42 33,-30,0,10.140200,0.2695021089994043
-30.0,-0.25,0.25,16,2026100216,1,K1ABC FN42 33,-30,0,10.140200,0.24310476200025732
-30.0,-0.25,0.25,19,2026100219,1,K1ABC FN42 33,-29,0,10.140200,0.05910553000012442
-30.0,-0.25,0.25,17,2026100217,1,K1ABC FN42 33,-30,0,10.140200,0.29021177000049647
-30.0,-0.25,0.25,20,2026100220,1,K1ABC FN42 33,-29,0,10.140200,0.056083460999616364
-30.0,-0.25,0.25,21,2026100221,1,K1ABC FN42 33,-30,0,10.140200,0.053656177000448224
-30.0,-0.25,0.25,22,2026100222,1,K1ABC FN42 33,-30,0,10.140200,0.061415954000040074
-30.0,-0.25,0.25,23,2026100223,1,K1ABC FN42 33,-30,0,10.140200,0.07747326499975316
-30.0,-0.25,0.25,18,2026100218,1,K1ABC FN42 33,-29,0,10.140200,0.2478281829999105
-30.0,-0.25,0.25,13,2026100213,0,,,,,0.5211134959999981
-30.0,-0.25,0.25,26,2026100226,1,K1ABC FN42 33,-30,0,10.140200,0.050353630000245175
-30.0,-0.25,0.25,27,2026100227,1,K1ABC FN42 33,-31,0,10.140200,0.04738270500001818
-30.0,-0.25,0.25,25,2026100225,1,K1ABC FN42 33,-30,0,10.140200,0.06033767400003853
-30.0,-0.25,0.25,24,2026100224,1,K1ABC FN42 33,-29,0,10.140200,0.09646987599990098
-30.0,-0.25,0.25,31,2026100231,1,K1ABC FN42 33,-30,0,10.140200,0.04542637200029276
-30.0,-0.25,0.25,29,2026100229,1,K1ABC FN42 33,-30,0,10.140200,0.07030630499957624
-30.0,-0.25,0.25,32,2026100232,1,K1ABC FN42 33,-30,0,10.140200,0.16131991099973675
-30.0,-0.25,0.25,30,2026100230,1,K1ABC FN42 33,-30,0,10.140200,0.27520777199970325
-30.0,-0.25,0.25,35,2026100235,1,K1ABC FN42 33,-30,0,10.140200,0.09813386000041646
-30.0,-0.25,0.25,34,2026100234,1,K1ABC FN42 33,-30,0,10.140200,0.24401685599968914
-30.0,-0.25,0.25,36,2026100236,1,K1ABC FN42 33,-31,0,10.140200,0.09662828899945453
-30.0,-0.25,0.25,37,2026100237,1,K1ABC FN42 33,-29,0,10.140200,0.046649904000332754
-30.0,-0.25,0.25,28,2026100228,0,,,,,0.5212793950004198
-30.0,-0.25,0.25,39,2026100239,1,K1ABC FN42 33,-30,0,10.140200,0.04708773399943311
-30.0,-0.25,0.25,40,2026100240,1,K1ABC FN42 33,-29,0,10.140200,0.05110192600022856
-30.0,-0.25,0.25,33,2026100233,0,,,,,0.49917950599956384
-30.0,-0.25,0.25,41,2026100241,1,K1ABC FN42 33,-30,0,10.140200,0.05838145899997471
-30.0,-0.25,0.25,42,2026100242,1,K1ABC FN42 33,-30,0,10.140200,0.08054969899967546
