trajectory_id,noise_type,f_carrier_hz,sigma_y_ref,trajectory_index,seed,tau_seconds,allan_deviation
random_walk_FM_t0363_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,363,2026301362,4,1.8917435636701822e-09
random_walk_FM_t0363_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,363,2026301362,8,2.348297307232924e-09
random_walk_FM_t0363_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,363,2026301362,16,2.0029367008260034e-09
random_walk_FM_t0363_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,363,2026301362,32,7.987485004645597e-10
random_walk_FM_t0364_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,364,2026301363,1,1.0138429457314403e-09
random_walk_FM_t0364_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,364,2026301363,2,1.1600314000070567e-09
random_walk_FM_t0364_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,364,2026301363,4,1.6835154474443767e-09
random_walk_FM_t0364_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,364,2026301363,8,2.382384656283852e-09
random_walk_FM_t0364_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,364,2026301363,16,3.038813692387248e-09
random_walk_FM_t0364_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,364,2026301363,32,3.61998817701097e-09
random_walk_FM_t0365_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,365,2026301364,1,1.0357065044406158e-09
random_walk_FM_t0365_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,365,2026301364,2,1.1672259150142906e-09
random_walk_FM_t0365_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,365,2026301364,4,1.4844442816028723e-09
random_walk_FM_t0365_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,365,2026301364,8,1.8976912153959846e-09
random_walk_FM_t0365_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,365,2026301364,16,1.8410600495758196e-09
random_walk_FM_t0365_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,365,2026301364,32,1.987118527675494e-09
random_walk_FM_t0366_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,366,2026301365,1,1.1207809692006709e-09
random_walk_FM_t0366_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,366,2026301365,2,1.3588226676674226e-09
random_walk_FM_t0366_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,366,2026301365,4,1.7960705111028042e-09
random_walk_FM_t0366_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,366,2026301365,8,2.0606017609898466e-09
random_walk_FM_t0366_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,366,2026301365,16,1.72171113389078e-09
random_walk_FM_t0366_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,366,2026301365,32,1.6094618380350212e-09
random_walk_FM_t0367_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,367,2026301366,1,1.0369980926076757e-09
random_walk_FM_t0367_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,367,2026301366,2,1.3241158992681068e-09
random_walk_FM_t0367_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,367,2026301366,4,1.9657489119446616e-09
random_walk_FM_t0367_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,367,2026301366,8,3.1315967710913657e-09
random_walk_FM_t0367_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,367,2026301366,16,4.1668955169118424e-09
random_walk_FM_t0367_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,367,2026301366,32,5.291594994101062e-09
