noise_type,f_carrier_hz,sigma_y_ref,n,descriptor,mean,std,median,p05,p25,p75,p95
white_FM,7000000.0,1e-08,500,phase_rms_rad,1.1801224323895236,0.35483564939447493,1.1300826073542618,0.7043317102143466,0.9398065539179642,1.3591958095728587,1.8459993842342282
white_FM,7000000.0,1e-08,500,fitted_constant_hz,-0.00027557954980705397,0.007625073014673095,-0.00013328775654619621,-0.012683138492306529,-0.0052902368650792776,0.004594781999232638,0.011846099095674835
white_FM,7000000.0,1e-08,500,fitted_linear_coefficient,-0.0004428547668145699,0.011876071250044194,-0.0001974487206071569,-0.020678197000223775,-0.008639578840789362,0.008742592431808999,0.01761429030501426
white_FM,10000000.0,1e-10,500,frequency_rms_hz,0.0009971528872555586,7.153598573683928e-05,0.0009931807290386439,0.0008857602234365341,0.0009485419875136082,0.0010437655672981007,0.0011155785530386833
white_FM,10000000.0,1e-10,500,max_abs_frequency_hz,0.0027802643352230795,0.0003878898969091395,0.002739634231047547,0.0022228016890814975,0.0024966333702093942,0.00300336846411402,0.0035048375106397915
white_FM,10000000.0,1e-10,500,peak_to_peak_hz,0.0050953077556773856,0.0006005535918503555,0.005049411605475907,0.00420891403712202,0.004669747323374481,0.005474776022940176,0.0062109985287518476
white_FM,10000000.0,1e-10,500,residual_frequency_rms_hz,0.0009863778521247053,7.097035582423627e-05,0.0009803180019627377,0.0008784572867992741,0.000939643156969223,0.001032846188761885,0.0011096838396361494
white_FM,10000000.0,1e-10,500,residual_max_abs_frequency_hz,0.0027548074932531525,0.0003989438651370115,0.0027034421369049578,0.002214209576451052,0.002462374320059267,0.0029866929571978726,0.003467760751909063
white_FM,10000000.0,1e-10,500,residual_peak_to_peak_hz,0.005071750156860399,0.0006034219297297763,0.005029277837356853,0.004190802667896033,0.004632289939624204,0.005447327192482418,0.006161505008881048
white_FM,10000000.0,1e-10,500,max_abs_phase_rad,0.04021420745335045,0.009863075557217563,0.03924840663755687,0.025848817511774796,0.033362999754693895,0.04606172028160821,0.05812075318870202
white_FM,10000000.0,1e-10,500,phase_rms_rad,0.01685889189127891,0.005069080705635356,0.01614403724791802,0.010061881574490669,0.013425807913113774,0.01941708299389798,0.026371419774774692
white_FM,10000000.0,1e-10,500,fitted_constant_hz,-3.93685071152934e-06,0.00010892961449532992,-1.9041108078028043e-06,-0.00018118769274723604,-7.55748123582754e-05,6.563974284618054e-05,0.00016922998708106902
white_FM,10000000.0,1e-10,500,fitted_linear_coefficient,-6.326496668779574e-06,0.00016965816071491704,-2.8206960086736583e-06,-0.0002954028142889111,-0.00012342255486841943,0.00012489417759727132,0.00025163271864306086
white_FM,10000000.0,3e-10,500,frequency_rms_hz,0.002991458661766676,0.0002146079572105178,0.002979542187115932,0.0026572806703096022,0.0028456259625408245,0.003131296701894302,0.0033467356591160504
white_FM,10000000.0,3e-10,500,max_abs_frequency_hz,0.008340793005669239,0.0011636696907274184,0.00821890269314264,0.006668405067244493,0.007489900110628182,0.009010105392342059,0.010514512531919373
white_FM,10000000.0,3e-10,500,peak_to_peak_hz,0.01528592326703216,0.0018016607755510664,0.015148234816427719,0.01262674211136606,0.014009241970123444,0.016424328068820524,0.01863299558625554
white_FM,10000000.0,3e-10,500,residual_frequency_rms_hz,0.002959133556374116,0.00021291106747270883,0.0029409540058882135,0.002635371860397822,0.0028189294709076683,0.003098538566285655,0.0033290515189084483
