experiment,trial_id,seed,message,snr_db,no_noise,impairment_type,cfo_hz,linear_drift_parameter,quadratic_parameter,A_res_hz,decoded_success,decoded_message,reported_snr,reported_frequency,reported_drift,decoder_exit_status,runtime_seconds,wsprd_version,decoder_stdout,decoder_stderr
frequency_linear,188,2026092709,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.1761835119996249,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,187,2026092708,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.1434652330008248,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,186,2026092707,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.14708181099922513,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,185,2026092706,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.14394044800064876,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,184,2026092705,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.14241777700044622,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,183,2026092704,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.03863585200087982,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,182,2026092703,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.4188451400004851,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,181,2026092702,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.055645282000114094,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,180,2026092701,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.16437879799923394,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,179,2026092700,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.15968629500093812,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,178,2026092699,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.047714602000269224,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,177,2026092698,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.05355195599986473,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,176,2026092697,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.15375458400012576,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,175,2026092696,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.16578847399978258,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,174,2026092695,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.15874570699998003,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
