replicate,mean_brier_amp_minus_phase
432,0.005354976218024114
433,0.004546926638782968
434,0.00446263830247886
435,0.006469620750862183
436,0.007819386884084923
437,0.005741892233381591
438,0.006096903000205565
439,0.004295784082800172
440,0.00446751850982295
441,0.007568382834627416
442,0.005456532046599541
443,0.00694764570115215
444,0.006546570804556237
445,0.00750847756223709
446,0.005815164814485552
447,0.005246212682302986
448,0.005574749716856189
449,0.005391979322892466
450,0.005775897457799845
451,0.007146320181016263
452,0.004977491540778566
453,0.005011522740271199
454,0.004813760646031234
455,0.004228836594545285
456,0.0077783568892673734
457,0.006441725207051017
458,0.0053796766960221825
459,0.003611502042674502
460,0.005258701069073085
461,0.006357099386030073
462,0.0064425394652455805
463,0.005935316238202183
464,0.0045141875468710175
465,0.0056751901890100265
466,0.008009068489221654
467,0.005463889520853248
468,0.006934895571983482
469,0.0048813932093430676
470,0.006979788665379166
471,0.006683821945100847
472,0.005381221618550948
473,0.005511425486208421
474,0.007917206396599654
475,0.006150275078007469
476,0.004872510817067125
477,0.007305892388763925
478,0.006511181039199783
479,0.006161538374521933
480,0.006317452088321645
481,0.005151658276287195
482,0.006833469872310404
483,0.006751990907742332
484,0.006730882954422048
485,0.005847515045851933
486,0.005020227738318276
487,0.0023042659977963753
488,0.006613433362402714
489,0.007551210157925902
490,0.005710909674876296
491,0.006302617271666782
492,0.006806155050452496
493,0.0045194353210693365
494,0.007745874307583252
495,0.006519887982996545
496,0.006469744278077181
497,0.005867817820017651
498,0.005517613163611265
499,0.006232032821396346
500,0.0067837117128900105
501,0.006475454468459371
502,0.006110600225015071
503,0.006727518632083824
504,0.0061754966119130575
505,0.007187047884443857
506,0.007900094474536429
507,0.00417594160242914
508,0.007848475752869573
509,0.0059202834620131406
510,0.00508390355135846
511,0.0058032749312907665
512,0.00712832676784356
513,0.007159243863060779
514,0.003617700786620464
515,0.007035831172277348
516,0.007177099976424445
517,0.005516038064416614
518,0.005166426307541216
519,0.008469283149010385
520,0.005540803388073121
521,0.007845248262593295
522,0.0053357966084347916
523,0.004235748195977229
524,0.00804022824093571
525,0.004658716148990398
526,0.006081386730436142
527,0.007606714195390279
528,0.0077235113553745195
529,0.005205690323371495
530,0.0062545271320202074
531,0.006572588030919019
532,0.004648716512213847
533,0.006445168898631295
534,0.006273518650196205
535,0.007300251647424197
536,0.006843332323563594
537,0.002951896435038393
538,0.007306045463571031
539,0.004807246541692666
540,0.006782589548662633
541,0.005507345736790874
542,0.00475336222132089
543,0.0060872924615095175
544,0.004973438542552666
545,0.004544436633667224
546,0.0053462959423822625
547,0.007301126220955765
548,0.009288807549935657
549,0.004901118638598291
550,0.006029673578426592
551,0.006457911592127758
552,0.00496658256388429
553,0.00634392565903862
554,0.006542675233193748
555,0.006878033298404305
556,0.006568124731764635
557,0.005881056219371181
558,0.006937372795962605
559,0.006129172289802357
560,0.006572508636352669
561,0.006422445070498793
562,0.0053037349082744115
563,0.005039014641927745
564,0.0041060821443794126
565,0.006201530541673765
566,0.0062776565445704195
567,0.006538071263953922
568,0.005883954829279278
569,0.005126283354619649
570,0.004756165217192316
571,0.006800761982129546
572,0.005697270017533739
573,0.004496799762182745
574,0.00411315614538852
575,0.004302492120931427
576,0.006199326004402202
577,0.008290070233570082
578,0.005686416088426462
579,0.004786678017125078
580,0.0062081800108527525
581,0.007426349368162776
582,0.0053882178554072934
583,0.005945713690409773
584,0.005968557495254811
585,0.009361257883169978
586,0.006246127458272605
587,0.007904406964503367
588,0.0064058535397547595
589,0.006615621016840626
590,0.004098626983026969
591,0.007302924172094004
592,0.005071133491351741
593,0.008164330034365468
594,0.007038678155213538
595,0.005201799536829696
596,0.0055502662303442635
597,0.005194238170159531
598,0.004663425295428623
599,0.005606359763956305
600,0.006478907935592033
601,0.005963159003739984
602,0.006214807540135268
603,0.005429726315288647
604,0.0032668229490241452
605,0.006577274247317727
606,0.0066268672734918575
607,0.0069685352087410024
608,0.0060467180552217625
609,0.006817603840203969
610,0.006037637761862094
611,0.0047423956415673625
612,0.005724488240663116
613,0.005503607581420532
614,0.006972752778567065
615,0.007843639537865805
616,0.0052115129334483964
617,0.005593851043501086
618,0.007104652351414155
619,0.005350085392329265
620,0.005492744989231158
621,0.005602512032365769
622,0.005319168741170939
623,0.006348307373232589
624,0.00587465467695941
625,0.005762094183774381
626,0.005277519850793873
627,0.007102879701852983
628,0.0073513734508581265
629,0.006648876295818466
630,0.005584846038714836
631,0.007147626921949733
632,0.007270728579453277
633,0.0039452728481250195
634,0.005584295837901607
635,0.005637896507848017
636,0.005824255230097057
637,0.0056255647883831
638,0.002871904545096928
639,0.007633492581641684
640,0.005687906381320986
641,0.004517079483292789
642,0.005438688700430916
643,0.005753237925832059
644,0.007585298730953073
645,0.006434726389287474
646,0.006091998113306455
647,0.005802150110576626
648,0.007073022883287291
649,0.005932978319211504
650,0.007418737865104361
651,0.005746077128001461
652,0.0049981288238885565
653,0.0059717059496205045
654,0.00405159747894325
655,0.006001594458990588
656,0.006377513897463084
657,0.007848009793262868
658,0.004999232744622485
659,0.007212990278747354
660,0.005582623501586472
661,0.006166057357861458
662,0.006194081176099658
663,0.005390133865423458
664,0.006010327296933301
665,0.005193281042277902
666,0.007889492622345586
667,0.007027502937531532
668,0.006648332312231567
669,0.005624383754044241
670,0.006354513409745832
671,0.005739859458944243
672,0.008164298364651683
673,0.004428464252488599
674,0.005749770316599092
675,0.007181305432097461
676,0.004183679360697699
677,0.00401847829279983
678,0.004148073967620411
679,0.007047052392555109
680,0.0073037038239395545
681,0.0054939151560845995
682,0.0061239728056733615
683,0.004840408624078105
684,0.007623525760841315
685,0.007177969764148722
686,0.0055501963588903275
687,0.005599153762128093
688,0.006655731373020302
689,0.005558895941193235
690,0.0032826831383794804
691,0.00577877415026762
692,0.0048432901510745245
693,0.006700178604845948
694,0.007449314441088957
695,0.009009300715218155
696,0.007342208020564922
697,0.006330503363590217
698,0.004926297134143915
699,0.005822583668461776
700,0.008014824615037474
